fips,pop
31083,3410
31085,953
31087,2887
31089,10396
31091,727
31093,6336
31095,7521
31097,5140
31099,6485
31101,8220
31103,804
31105,3783
31107,8573
31109,293407
31111,36099
31113,765
31115,589
31117,509
31119,35031
31121,7780
31123,4889
31125,3715
31127,7154
31129,4438
31131,15747
31133,2765
31135,2931
31137,9215
31139,7166
31141,32681
31143,5320
31145,10975
31147,8290
31149,1376
31151,14557
31153,165853
31155,20823
31157,36964
31159,16935
31161,5319
31163,3108
31165,1315
31167,6089
31169,5134
31171,676
31173,7020
31175,4229
31177,20252
31179,9554
31181,3725
31183,805
31185,13746
32001,24375
32003,2000759
32005,46996
32007,51216
32009,775
32011,2001
32013,17048
32015,5941
32017,5405
32019,51327
32021,4653
32023,42963
32027,6749
32029,3935
32031,429908
32033,10042
32510,54838
33001,60327
33003,47567
33005,76851
33007,32096
33009,89181
33011,402922
33013,146761
33015,297820
33017,124119
33019,43074
34001,275422
34003,918888
34005,451336
34007,513539
34009,96304
34011,157785
34013,787744
34015,289586
34017,652302
34019,127050
34021,368303
34023,823041
34025,629384
34027,497999
34029,580470
34031,502885
34033,65774
34035,327707
34037,147442
34039,543976
34041,107653
35001,673460
35003,3658
35005,65784
35006,27334
35007,13223
35009,49938
35011,1927
35013,214445
35015,54419
35017,29388
35019,4603
35021,707
35023,4794
35025,66338
35027,20309
35028,18159
35029,25041
35031,73016
35033,4705
35035,66041
35037,8769
35039,40318
35041,20419
35043,135588
35045,128529
35047,28891
35049,146375
35051,11895
35053,17603
35055,32779
35057,16021
35059,4431
35061,76631
36001,305455
36003,48357
36007,198060
36009,79458
36011,79552
36013,133539
36015,88911
36017,49933
36019,81654
36021,62499
36023,49474
36025,47276
36027,297322
36029,919086
36031,38961
36033,51795
36035,54925
36037,59977
36039,48673
36041,4778
36043,64508
36045,120262
36049,27224
36051,64810
36053,72382
36055,747813
36057,49941
36059,1349233
36063,215124
36065,233556
36067,466852
36069,108519
36071,374512
36073,42836
36075,121700
36077,61709
36079,99607
36083,159835
36087,317757
36089,112232
36091,222133
36093,155124
36095,32099
36097,18514
36099,35305
36101,99063
36103,1499273
36105,76793
36107,50478
36109,102554
36111,181791
36113,65538
36115,62934
36117,92962
36119,961670
36121,41892
36123,25344
37001,153920
37003,36853
37005,10927
37007,26351
37009,27097
37011,17635
37013,47507
37015,20653
37017,34915
37019,112257
37021,244490
37023,90505
